target;distractor;id;id_dis;source_target;target_sent;source_dis;distractor_sent
059.wav;dis_205.wav;59;dis_205;corpus;Frische Gardinen hängen am Fenster.;GPT-normal;Ein Lächeln erhellte das Gesicht des müden Reisenden.
030.wav;dis_136.wav;30;dis_136;GPT-high;Der Regen tropft vom Dach.;GPT-high;Die Lampe erhellte den Raum mit warmem Licht.
044.wav;dis_180.wav;44;dis_180;corpus;Montag war es uns zu regnerisch.;GPT-literature;Auf dem Jahrmarkt fand sie das Ticket ins Abenteuer.
017.wav;dis_066.wav;17;dis_066;GPT-daily;Der Bus hupt vor der belebten Haltestelle.;GPT-low;Mit Samthandschuhen betrachtet der Künstler sein unvollendetes Meisterwerk.
257.wav;dis_259.wav;257;dis_259;GPT-sie;Sie trägt ein Lächeln im Gesicht.;GPT-news;Die Polizei ermittelt nach einem Überfall in der Innenstadt.
027.wav;dis_126.wav;27;dis_126;GPT-high;Kinder spielen fröhlich im Park.;GPT-high;Die Katze schnurrte zufrieden auf dem warmen Sofa.
209.wav;dis_038.wav;209;dis_038;GPT-unprompted;Ein Schiff gleitet über das Wasser.;GPT-unprompted;Der Abenteurer erklimmt den steilen Gipfel des Berges.
260.wav;dis_266.wav;260;dis_266;GPT-sie;Sie läuft entspannt am Strand entlang.;GPT-news;Ein neues Gesetz verbietet die Nutzung von Plastiktüten.
069.wav;dis_091.wav;69;dis_091;corpus;Die Rinder sind noch auf der Weide.;GPT-high;Das knisternde Feuer wärmt die kalten Hände.
207.wav;dis_121.wav;207;dis_121;GPT-unprompted;Die Vögel umkreisten den Turm.;GPT-low;Mit leuchtenden Augen lauschte sie dem duftenden Geheimnis.
051.wav;dis_010.wav;51;dis_010;corpus;Die Ärzte sind damit gar nicht einverstanden.;corpus;Die Bejahung dieser Frage ist meine Bedingung für einen Neuanfang.
060.wav;dis_004.wav;60;dis_004;corpus;Auf dem Brett leuchten bunte Tulpen.;corpus;In den nächsten Jahren werde ich kein Pökelfleisch mehr essen.
150.wav;dis_069.wav;150;dis_069;corpus;Opa jammert ständig über seine Asthmaanfälle.;GPT-low;Auf dem Parkett tanzt die Schattenfigur ihre einsamen Schritte.
023.wav;dis_216.wav;23;dis_216;GPT-daily;Das Telefon klingelt in der stillen Wohnung.;GPT-normal;Ein Glitzern enthüllt sich im verborgenen Schmuckkästchen.
